Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3389,6,22/02/2018 05:10:12,3909032,14,8,1431,1727,725,0,102.2142857143,191.040945499,1175,0,215.875,404.1083438528,807.8726395691,5.6279917893,186144.380952381,236819.114906182,937621,62,3909032,300694.769230769,329511.822846605,1253007,24437,3864472,552067.428571429,298927.99819012,937621,179883,0,0,0,0,292,172,3.5814493204,2.0465424688,0,1175,137.3043478261,278.2297015029,77411.766798419,0,0,1,1,0,0,0,1,0,143.5454545455,102.2142857143,215.875,0,0,0,0,0,0,14,1431,8,1727,8192,62654,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,22/02/2018 04:33:34,888,1,1,29,61,29,29,29.0,0.0,61,61,61.0,0.0,101351.351351351,2252.2522522523,888.0,0.0,888,888,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1126.1261261261,1126.1261261261,29,61,39.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,59.5,29.0,61.0,0,0,0,0,0,0,1,29,1,61,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
445,6,22/02/2018 03:40:54,655166,9,5,455,338,140,0,50.5555555556,62.5561969574,145,0,67.6,69.7588704037,1210.3802700384,21.3686302403,50397.3846153846,78520.9616180487,163669,3,655096,81887.0,87405.242835558,163747,3,655104,163776.0,281.7883366406,164151,163544,0,0,0,0,192,112,13.736976583,7.6316536572,0,145,52.8666666667,62.5069900853,3907.1238095238,0,0,0,1,0,0,0,0,0,56.6428571429,50.5555555556,67.6,0,0,0,0,0,0,9,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,22/02/2018 08:30:55,53570712,5,1,123,46,46,0,24.6,23.2765976895,46,46,46.0,0.0,3.1547088641,0.1120014981,10714142.4,23844403.4977974,53368205,23,53570712,13392678.0,26650521.7013488,53368205,23,0,0.0,0.0,0,0,1,0,0,0,100,20,0.0933345818,0.0186669164,0,46,30.7142857143,21.6849739506,470.2380952381,0,1,0,0,1,0,0,0,0,35.8333333333,24.6,46.0,0,0,0,0,0,0,5,123,1,46,258,254,2,20,202267.0,0.0,202267,202267,53368205.0,0.0,53368205,53368205,Benign
53,17,22/02/2018 08:29:41,372,1,1,34,50,34,34,34.0,0.0,50,50,50.0,0.0,225806.451612903,5376.3440860215,372.0,0.0,372,372,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2688.1720430108,2688.1720430108,34,50,39.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,59.0,34.0,50.0,0,0,0,0,0,0,1,34,1,50,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
50395,6,22/02/2018 11:18:10,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,4969,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,22/02/2018 02:27:10,390,1,1,61,77,61,61,61.0,0.0,77,77,77.0,0.0,353846.153846154,5128.2051282051,390.0,0.0,390,390,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2564.1025641026,2564.1025641026,61,77,66.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,99.5,61.0,77.0,0,0,0,0,0,0,1,61,1,77,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,22/02/2018 10:03:23,3135774,10,8,1144,2754,677,0,114.4,209.8969059112,1173,0,344.25,520.2819977117,1243.0742776744,5.7402095942,184457.294117647,268576.445778889,937581,54,3135774,348419.333333333,360656.183717609,1140042,54,2997069,428152.714285714,326756.582820563,937581,139808,0,0,0,0,224,172,3.1890053301,2.5512042641,0,1173,205.1578947368,377.9033184938,142810.918128655,0,0,0,1,0,0,0,0,0,216.5555555556,114.4,344.25,0,0,0,0,0,0,10,1144,8,2754,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,22/02/2018 02:18:26,1099,1,1,33,65,33,33,33.0,0.0,65,65,65.0,0.0,89171.974522293,1819.8362147407,1099.0,0.0,1099,1099,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,909.9181073703,909.9181073703,33,65,43.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,65.5,33.0,65.0,0,0,0,0,0,0,1,33,1,65,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
3389,6,22/02/2018 01:45:51,1827805,8,7,1128,1581,661,0,141.0,222.62332056,1173,0,225.8571428571,430.0986044197,1482.1055856615,8.2065647047,130557.5,245484.921969605,953110,71,1827805,261115.0,392103.468460813,1142751,71,1692515,282085.833333333,329395.697942409,953110,136474,0,0,0,0,172,152,4.3768345092,3.8297301955,0,1173,169.3125,317.7312740352,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571428571,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
