Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.67.16-209.85.203.149-53973-443-6,172.31.67.16,53973,209.85.203.149,443,6,20/02/2018 02:53:03,52000141,5,1,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,46.0,46.0,0.0,3.249991187523896,0.1153843025156412,10400028.2,23167311.634378053,51842910.0,14.0,52000141.0,13000035.249999998,25895352.90307494,51842910.0,14.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,100,20,0.096153585429701,0.0192307170859402,0.0,46.0,30.714285714285708,21.68497395059757,470.2380952380952,0,1,0,0,1,0,0,0,0.0,35.833333333333336,24.6,46.0,0,0,0,0,0,0,5,123,1,46,258,189,2,20,155732.0,0.0,155732.0,155732.0,51842910.0,0.0,51842910.0,51842910.0,Benign
172.31.0.2-172.31.67.126-53-52787-17,172.31.67.126,52787,172.31.0.2,53,17,20/02/2018 01:28:59,2963,1,1,31.0,158.0,31.0,31.0,31.0,0.0,158.0,158.0,158.0,0.0,63786.70266621668,674.9915626054675,2963.0,0.0,2963.0,2963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,337.49578130273375,337.49578130273375,31.0,158.0,73.33333333333334,73.32348418708247,5376.333333333334,0,0,0,0,0,0,0,0,1.0,110.0,31.0,158.0,0,0,0,0,0,0,1,31,1,158,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.0.2-172.31.65.103-53-57514-17,172.31.65.103,57514,172.31.0.2,53,17,20/02/2018 05:30:20,1046,1,1,44.0,60.0,44.0,44.0,44.0,0.0,60.0,60.0,60.0,0.0,99426.3862332696,1912.0458891013384,1046.0,0.0,1046.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,956.0229445506692,956.0229445506692,44.0,60.0,49.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,74.0,44.0,60.0,0,0,0,0,0,0,1,44,1,60,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
169.254.169.254-172.31.64.98-80-50343-6,172.31.64.98,50343,169.254.169.254,80,6,20/02/2018 02:20:10,53807901,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371692625586714,53807901.0,0.0,53807901.0,53807901.0,53807901.0,53807901.0,0.0,53807901.0,53807901.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0371692625586714,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2239,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.66.105-13.89.187.212-49672-443-6,172.31.66.105,49672,13.89.187.212,443,6,20/02/2018 03:00:54,60107370,4,2,148.0,252.0,74.0,0.0,37.0,42.72391992003231,126.0,126.0,126.0,0.0,6.654757977266348,0.0998213696589952,12021474.0,26776223.089395907,59920238.0,46248.0,60107370.0,20035790.0,34540945.183924675,59920238.0,93547.0,60013646.0,60013646.0,0.0,60013646.0,60013646.0,1,0,0,0,80,40,0.0665475797726634,0.0332737898863317,0.0,126.0,67.71428571428571,51.77423518094139,2680.571428571429,0,1,0,0,1,0,0,0,0.0,79.0,37.0,126.0,0,0,0,0,0,0,4,148,2,252,256,7009,1,20,93547.0,0.0,93547.0,93547.0,59920238.0,0.0,59920238.0,59920238.0,Benign
172.31.0.2-172.31.65.36-53-53475-17,172.31.65.36,53475,172.31.0.2,53,17,20/02/2018 01:27:41,325,1,1,42.0,58.0,42.0,42.0,42.0,0.0,58.0,58.0,58.0,0.0,307692.3076923077,6153.846153846154,325.0,0.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3076.923076923077,3076.923076923077,42.0,58.0,47.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,71.0,42.0,58.0,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.66.63-52.6.212.75-51383-443-6,172.31.66.63,51383,52.6.212.75,443,6,20/02/2018 12:41:43,119992672,18,18,1385.0,579.0,517.0,0.0,76.94444444444444,169.45430486685342,427.0,0.0,32.166666666666664,104.82716868311212,16.367666185481728,0.3000183211188096,3428362.057142857,4629375.25959802,10001844.0,39.0,115054655.0,6767920.882352941,4612643.726783805,10025328.0,121.0,119981196.0,7057717.411764706,4300869.601197952,10014975.0,2379.0,0,0,0,0,372,504,0.1500091605594048,0.1500091605594048,0.0,517.0,53.08108108108109,139.03444384963237,19330.57657657657,0,0,0,1,0,0,0,0,1.0,54.55555555555556,76.94444444444444,32.166666666666664,0,0,0,0,0,0,18,1385,18,579,8192,59,15,20,458890.7272727273,1469923.4460005115,4890737.0,11575.0,10000623.363636363,614.3475030839152,10001844.0,9999601.0,Benign
172.31.0.2-172.31.65.80-53-53995-17,172.31.65.80,53995,172.31.0.2,53,17,20/02/2018 12:12:59,292,1,1,69.0,133.0,69.0,69.0,69.0,0.0,133.0,133.0,133.0,0.0,691780.8219178083,6849.315068493151,292.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3424.657534246576,3424.657534246576,69.0,133.0,90.33333333333331,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,135.5,69.0,133.0,0,0,0,0,0,0,1,69,1,133,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.64.118-52.84.140.38-53064-443-6,172.31.64.118,53064,52.84.140.38,443,6,20/02/2018 04:06:22,412042,9,7,553.0,3773.0,202.0,0.0,61.44444444444444,87.53443766757046,1460.0,0.0,539.0,655.4329358014695,10498.92972075662,38.83099295702865,27469.466666666667,63770.90231878784,231537.0,1.0,412042.0,51505.25000000001,82068.13766925628,231537.0,20.0,159786.0,26631.0,54350.73658746494,136355.0,1.0,0,0,0,0,192,152,21.842433538328617,16.988559418700035,0.0,1460.0,254.47058823529417,474.7129550643024,225352.38970588235,0,0,0,1,0,0,0,0,0.0,270.375,61.44444444444444,539.0,0,0,0,0,0,0,9,553,7,3773,8192,119,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.31.66.101-74.119.119.84-53444-443-6,172.31.66.101,53444,74.119.119.84,443,6,20/02/2018 05:22:59,116348156,25,26,2590.0,4537.0,421.0,0.0,103.6,168.7169720765124,1460.0,0.0,174.5,365.18118790540126,61.25580537778355,0.4383395642299651,2326963.12,4187629.010623756,10001340.0,1.0,116348156.0,4847839.833333333,4988272.032402374,10031014.0,50.0,110706958.0,4428278.32,5069070.150633536,10035600.0,1.0,0,0,0,0,512,528,0.2148723354068456,0.2234672288231194,0.0,1460.0,137.05769230769232,283.5462692443921,80398.48680241329,0,0,0,1,0,0,0,0,1.0,139.7450980392157,103.6,174.5,0,0,0,0,0,0,25,2590,26,4537,8192,6906,19,20,67724.33333333333,131076.98202779598,483949.0,29612.0,9627951.166666666,1265099.4761496629,10001340.0,5611515.0,Benign
