Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53352,6,21/02/2018 02:18:34,1609,5,2,935,291,935,0,187.0,418.1447118,291,0,145.5,205.7680733,761963.9528,4350.528278,268.1666667,298.0002796,713,5,1609,402.25,495.9337153,1066,5,713,713.0,0.0,713,713,0,0,0,0,124,40,3107.520199,1243.00808,0,935,153.25,331.8824017,110145.9286,0,0,1,1,0,0,0,1,0,175.1428571,187.0,145.5,0,0,0,0,0,0,5,935,2,291,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
61280,6,21/02/2018 02:21:52,1304,5,2,935,336,935,0,187.0,418.1447118,336,0,168.0,237.5878785,974693.2515,5368.09816,217.3333333,288.7896582,750,4,1304,326.0,499.5831596,1062,4,750,750.0,0.0,750,750,0,0,0,0,124,40,3834.355828,1533.742331,0,935,158.875,334.918087,112170.125,0,0,1,1,0,0,0,1,0,181.5714286,187.0,168.0,0,0,0,0,0,0,5,935,2,336,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
57275,6,21/02/2018 02:26:59,1156,5,2,935,260,935,0,187.0,418.1447118,260,0,130.0,183.8477631,1033737.024,6055.363322,192.6666667,234.3421999,600,6,1156,289.0,421.429314,905,7,600,600.0,0.0,600,600,0,0,0,0,124,40,4325.259516,1730.103806,0,935,149.375,330.221111,109045.9821,0,0,1,1,0,0,0,1,0,170.7142857,187.0,130.0,0,0,0,0,0,0,5,935,2,260,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51077,6,21/02/2018 02:30:13,1367,5,2,935,250,935,0,187.0,418.1447118,250,0,125.0,176.7766953,866861.741,5120.702268,227.8333333,293.0142772,759,7,1367,341.75,510.2903585,1090,7,759,759.0,0.0,759,759,0,0,0,0,124,40,3657.644477,1463.057791,0,935,148.125,329.7611419,108742.4107,0,0,1,1,0,0,0,1,0,169.2857143,187.0,125.0,0,0,0,0,0,0,5,935,2,250,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
54809,6,21/02/2018 02:24:48,1018,5,2,935,316,935,0,187.0,418.1447118,316,0,158.0,223.4457429,1228880.157,6876.227898,169.6666667,196.1659162,497,6,1018,254.5,358.5345172,775,7,497,497.0,0.0,497,497,0,0,0,0,124,40,4911.591356,1964.636542,0,935,156.375,333.4786082,111207.9821,0,0,1,1,0,0,0,1,0,178.7142857,187.0,158.0,0,0,0,0,0,0,5,935,2,316,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
52606,6,21/02/2018 02:18:58,6907,5,2,935,342,935,0,187.0,418.1447118,342,0,171.0,241.8305192,184884.8994,1013.464601,1151.166667,2369.418867,5960,4,6907,1726.75,3008.91114,6217,6,5960,5960.0,0.0,5960,5960,0,0,0,0,124,40,723.9032865,289.5613146,0,935,159.625,335.3777987,112478.2679,0,0,1,1,0,0,0,1,0,182.4285714,187.0,171.0,0,0,0,0,0,0,5,935,2,342,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
61869,6,21/02/2018 02:27:50,1144,5,2,935,341,935,0,187.0,418.1447118,341,0,170.5,241.1234124,1115384.615,6118.881119,190.6666667,228.8804637,585,8,1144,286.0,419.0974429,900,8,585,585.0,0.0,585,585,0,0,0,0,124,40,4370.629371,1748.251748,0,935,159.5,335.3002918,112426.2857,0,0,1,1,0,0,0,1,0,182.2857143,187.0,170.5,0,0,0,0,0,0,5,935,2,341,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49693,6,21/02/2018 02:23:50,1199,5,2,935,261,935,0,187.0,418.1447118,261,0,130.5,184.5548699,997497.9149,5838.198499,199.8333333,244.1617633,621,6,1199,299.75,445.8791877,954,6,621,621.0,0.0,621,621,0,0,0,0,124,40,4170.141785,1668.056714,0,935,149.5,330.2691543,109077.7143,0,0,1,1,0,0,0,1,0,170.8571429,187.0,130.5,0,0,0,0,0,0,5,935,2,261,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
58244,6,21/02/2018 02:19:35,6601,5,2,935,247,935,0,187.0,418.1447118,247,0,123.5,174.655375,179063.7782,1060.445387,1100.166667,2443.774246,6083,6,6601,1650.25,3151.59773,6376,6,6083,6083.0,0.0,6083,6083,0,0,0,0,124,40,757.4609908,302.9843963,0,935,147.75,329.6304208,108656.2143,0,0,1,1,0,0,0,1,0,168.8571429,187.0,123.5,0,0,0,0,0,0,5,935,2,247,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53463,6,21/02/2018 02:25:21,1240,5,2,935,315,935,0,187.0,418.1447118,315,0,157.5,222.7386361,1008064.516,5645.16129,206.6666667,288.9807375,754,6,1240,310.0,481.9073217,1022,6,754,754.0,0.0,754,754,0,0,0,0,124,40,4032.258065,1612.903226,0,935,156.25,333.4104078,111162.5,0,0,1,1,0,0,0,1,0,178.5714286,187.0,157.5,0,0,0,0,0,0,5,935,2,315,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
60119,6,21/02/2018 02:28:08,1257,5,2,935,266,935,0,187.0,418.1447118,266,0,133.0,188.0904038,955449.4829,5568.814638,209.5,271.4455747,705,6,1257,314.25,467.8763191,1000,6,705,705.0,0.0,705,705,0,0,0,0,124,40,3977.724741,1591.089897,0,935,150.125,330.5149391,109240.125,0,0,1,1,0,0,0,1,0,171.5714286,187.0,133.0,0,0,0,0,0,0,5,935,2,266,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51137,6,21/02/2018 02:24:28,1316,5,2,935,274,935,0,187.0,418.1447118,274,0,137.0,193.747258,918693.0091,5319.148936,219.3333333,292.2927756,760,8,1316,329.0,508.7206175,1081,8,760,760.0,0.0,760,760,0,0,0,0,124,40,3799.392097,1519.756839,0,935,151.125,330.9274575,109512.9821,0,0,1,1,0,0,0,1,0,172.7142857,187.0,137.0,0,0,0,0,0,0,5,935,2,274,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49502,6,21/02/2018 02:23:47,4715,5,2,935,313,935,0,187.0,418.1447118,313,0,156.5,221.3244225,264687.1686,1484.623542,785.8333333,1634.451029,4111,8,4715,1178.75,2184.306049,4452,11,4111,4111.0,0.0,4111,4111,0,0,0,0,124,40,1060.445387,424.1781548,0,935,156.0,333.2750901,111072.2857,0,0,1,1,0,0,0,1,0,178.2857143,187.0,156.5,0,0,0,0,0,0,5,935,2,313,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
